"RESULTID","RACEID","DRIVERID","GRID","POSITIONTEXT","POINTS","LAPS","TIME","FASTESTLAP","FASTESTLAPSPEED"
74,21,15,8,"8",1,66,"59.435",45,202.494
75,21,2,9,"9",0,66,"+1:03.073",21,203.08
76,21,21,19,"10",0,65,"",40,200.841
77,21,10,14,"11",0,65,"",57,201.886
78,21,14,17,"12",0,65,"",57,202.288
79,21,11,22,"13",0,65,"",34,198.045
80,21,3,15,"R",0,41,"",20,201.13
81,21,4,2,"R",0,34,"",15,202.677
82,21,22,11,"R",0,34,"",21,199.837
83,21,5,6,"R",0,21,"",19,203.243
84,21,19,21,"R",0,8,"",6,192.922
85,21,7,16,"R",0,7,"",6,194.862
86,21,12,10,"R",0,6,"",6,196.128
87,21,16,20,"R",0,0,"",,
88,21,20,18,"R",0,0,"",,
89,22,13,1,"1",10,58,"26:49.5",16,221.734
90,22,1,3,"2",8,58,"3.779",31,222.085
91,22,8,4,"3",6,58,"4.271",20,222.144
92,22,9,5,"4",5,58,"21.945",17,221.442
93,22,2,9,"5",4,58,"38.741",20,220.328
94,22,4,7,"6",3,58,"53.724",57,220.174
95,22,17,6,"7",2,58,"+1:04.229",14,219.294
96,22,3,11,"8",1,58,"+1:11.406",55,218.882
97,22,14,10,"9",0,58,"+1:15.270",41,218.457
98,22,15,8,"10",0,58,"+1:16.344",52,218.556
99,22,18,13,"11",0,57,"",57,218.377
100,22,5,2,"12",0,57,"",55,219.269
101,22,10,15,"13",0,57,"",28,217.623
102,22,22,12,"14",0,57,"",56,218.33
103,22,12,17,"15",0,57,"",40,218.703
104,22,16,19,"16",0,57,"",35,216.454
105,22,20,14,"17",0,57,"",38,217.926
106,22,7,18,"R",0,24,"",19,216.539
107,22,6,16,"R",0,1,"",,
108,22,21,20,"R",0,0,"",,
109,23,1,3,"1",10,76,"00:42.7",71,153.152
110,23,9,5,"2",8,76,"3.064",75,154.286
111,23,13,1,"3",6,76,"4.811",76,154.379
112,23,17,9,"4",5,76,"19.295",74,152.133
113,23,20,19,"5",4,76,"24.657",74,152.614
114,23,22,14,"6",3,76,"28.408",75,151.104
115,23,6,13,"7",2,76,"30.18",75,150.469
116,23,5,4,"8",1,76,"33.191",74,155.586
117,23,8,2,"9",0,76,"33.792",74,156.789
118,23,4,7,"10",0,75,"",73,154.413
119,23,18,11,"11",0,75,"",74,151.089
120,23,10,10,"12",0,75,"",75,151.021
121,23,15,8,"13",0,75,"",75,150.62
